manufacturer,exchange,ticker
3M Company,NYSE,MMM
3M,NYSE,MMM
3M_RMS1,NYSE,MMM
AMD,NASDAQ,AMD
AMP Inc.,NYSE,TEL
"ANALOG DEVICES, INC.",NASDAQ,ADI
AVX CORPORATION,NYSE,AVX
AVX Corporation,NYSE,AVX
AVX,NYSE,AVX
AVX_RMS1,NYSE,AVX
"Advanced Micro Devices, Inc.",NASDAQ,AMD
Amphenol FCI,NYSE,APH
Amphenol ICC / FCI,NYSE,APH
Amphenol,NYSE,APH
Analog Devices / Linear Technology,NASDAQ,ADI
"Analog Devices, Inc.",NASDAQ,ADI
Analog Devices,NASDAQ,ADI
Aptina,NASDAQ,ON
Bossard Group,SWX,BOSN
Bossard,SWX,BOSN
Cypress Semiconductor,NASDAQ,CY
DIODES INC,NASDAQ,DIOD
DIODES INC_RMS1,NASDAQ,DIOD
Diodes Inc.,NASDAQ,DIOD
Diodes Incorporated,NASDAQ,DIOD
Essentra PLC,OTCMKTS,FLRAF
FAIRCHILD SEMICONDUCTOR_RMS1,NASDAQ,FCS
"Fairchild Semiconductor International, Inc.",NASDAQ,FCS
HONEYWELL_RMS1,NASDAQ,HON
Honeywell Sensing,NASDAQ,HON
Honeywell,NASDAQ,HON
INTERNATIONAL RECTIFIER_RMS1,NYSE,IRF
Infineon Technologies AG,OTCMKTS,IFNNY
"JABIL SUPPLIER - SHANGHAI UPP CO.,LTD.(LOC)",NYSE,JBL
KEMET,NYSE,KEM
KEMET_RMS1,NYSE,KEM
KOA SPEER,OTCPK,KACPF
"KOA Speer Electronics, Inc.",OTCPK,KACPF
KYOCERA_RMS1,OTCMKTS,KYOCY
Kemet Corporation,NYSE,KEM
Kyocera Corporation,OTCMKTS,KYOCY
LELON,TPE,2472
LINEAR TECHNOLOGY_RMS1,NASDAQ,LLTC
"LITTELFUSE, INC.",NASDAQ,LFUS
LITTELFUSE_RMS1,NASDAQ,LFUS
LITTLEFUSE,NASDAQ,LFUS
LOCTITE (HENKEL CORPORATION),OTCMKTS,HENKY
LOCTITE,OTCMKTS,HENKY
Lelon Electronics Corp.,TPE,2472
Linear Technology Corporation,NASDAQ,LLTC
"Littelfuse, Inc.",NASDAQ,LFUS
Littelfuse,NASDAQ,LFUS
MAXELL,TYO,6810
MAXIM_RMS1,NASDAQ,MXIM
MICROCHIP TECHNOLOGY_RMS1,NASDAQ,MCHP
MICROCHIP,NASDAQ,MCHP
MOLEX_RMS1,NASDAQ,MOLX
"MURATA MANUFACTURING CO., LTD.",OTCMKTS,MRAAY
MURATA,OTCMKTS,MRAAY
MURATA_RMS1,OTCMKTS,MRAAY
Macronix International Co. Ltd.,TPE,2337
Macronix,TPE,2337
Macronix,TPE,2337
"Maxell Holdings, Ltd.",TYO,6810
Maxim Integrated,NASDAQ,MXIM
Microchip Technology Incorporated,NASDAQ,MCHP
Microchip,NASDAQ,MCHP
"Micron Technology, Inc.",NASDAQ,MU
Micron,NASDAQ,MU
Molex Incorporated,NASDAQ,MOLX
Molex,NASDAQ,MOLX
"Murata Manufacturing Co., Ltd.",OTCMKTS,MRAAY
Murata,OTCMKTS,MRAAY
NATIONAL SEMICONDUCTOR_RMS1,NASDAQ,TXN
NEC,OTCMKTS,NIPNF
NEXANS,OTCMKTS,NEXNY
NUMONYX_RMS1,NASDAQ,MU
NXP SEMICONDUCTORS_RMS1,NASDAQ,NXPI
NXP Semiconductors,NASDAQ,NXPI
Nexperia,NASDAQ,NXPI
Nicomatic,EU,MLNCO
OMRON ELECTRONICS INC,OTCMKTS,OMRNY
ON SEMICONDUCTOR,NASDAQ,ON
ON SEMICONDUCTOR_RMS1,NASDAQ,ON
ON Semiconductor Corporation,NASDAQ,ON
Omron Electronic Components LLC,OTCMKTS,OMRNY
Omron,OTCMKTS,OMRNY
PANASONIC                       (017670),OTCMKTS,PCRFY
PANASONIC_RMS1,OTCMKTS,PCRFY
Panasonic Industrial Devices,OTCMKTS,PCRFY
Panasonic,OTCMKTS,PCRFY
SAMSUNG_RMS1,KRX,005930
SONY_RMS1,NYSE,SONY
SPANSION LLC,NASDAQ,CY
ST MICROELECTRONIC,NYSE,STM
ST MICROELECTRONICS_RMS1,NYSE,STM
STAR MICRONICS INC.,TYO,7718
STMICROELECTRONICS,NYSE,STM
STMicroelectronics N.V.,NYSE,STM
Samsung Electro-Mechanics,KRX,009150
"Samsung Semiconductor, Inc.",KRX,005930
Samsung,KRX,005930
Samtec,NASDAQ,SMTC
Star Micronics Co Ltd,TYO,7718
Star Micronics,TYO,7718
"TAIYO YUDEN CO., LTD.",OTCMKTS,TYOYY
TAIYO YUDEN_RMS1,OTCMKTS,TYOYY
TDK Corporation,OTCMKTS,TTDKY
TDK,OTCMKTS,TTDKY
TDK_RMS1,OTCMKTS,TTDKY
TE Connectivity,NYSE,TEL
TEXAS INSTRUMENTS_RMS1,NASDAQ,TXN
TT Electronics,OTCMKTS,TTGPF
TTM,NASDAQ,TTMI
TYCO ELECTRONICS,NYSE,TEL
Taiyo Yuden,OTCMKTS,TYOYY
Texas Instruments Incorporated,NASDAQ,TXN
Texas Instruments,NASDAQ,TXN
Tripp Lite,NYSE,ETN
VARTA                           (917650),ETR,VAR1
VARTA Microbattery GmbH,ETR,VAR1
VARTA_RMS1,ETR,VAR1
VISHAY_RMS1,NYSE,VSH
Varta,OTCMKTS,VARTY
Vishay BC Components,NYSE,VSH
Vishay Dale,NYSE,VSH
Vishay Dale,NYSE,VSH
"Vishay Intertechnology, Inc.",NYSE,VSH
Vishay Semiconductors,NYSE,VSH
Vishay Siliconix,NYSE,VSH
Vishay,NYSE,VSH
YAGEO Corporation,TPE,2327
YAGEO,TPE,2327
YAGEO/PHYCOMP_RMS1,TPE,2327
YAGEO_RMS1,TPE,2327
Yageo,TPE,2327
Zetex,LSE,ZTX
onsemi,NASDAQ,ON
